name,id,color,cost,symbol,unlocks,effects
LUMBER YARD,1,Brown,"",,,"add_resource_wood"
QUARRY,5,Brown,"",,,"add_resource_stone"
STONE PIT,6,Brown,"coin1",,,"add_resource_stone"
LOGGING CAMP,7,Brown,"coin1",,,"add_resource_wood"
CLAY POOL,8,Brown,"",,,"add_resource_clay"
CLAY PIT, 9,Brown,"1coin",,,"add_resource_clay"
PRESS,10,Gray,"1coin",,,"add_resource_papyrus"
GLASS WORKS,11,Gray,"1coin",,,"add_resource_glass"
APOTHECARY,12,Green,"1glass",,,"add_scientific_symbol_wheel"; "add_VictoryPoint1"
WORKSHOP,13,Green,"1papyrus",,,"add_scientific_symbol_scales"; "add_VictoryPoint1"
SCRIPTORIUM,14,Green,"2coin",,"book","add_scientific_symbol_ink";
PHARMACIST,15,Green,"2coin",,Gear,"add_Mortar"
THEATER,16,Blue,"",,mask,"add_VictoryPoint3"
BATHS,17,Blue,"1stone",,droplet,"add_VictoryPoint3"
ALTAR,18,Blue,"",,moon,"add_VictoryPoint3"
TARVERN,19,Yellow,"",,vase,"add_coin4"
STONE RESERVE,20,Yellow,"coin3",,,"sale_stone1"
CLAY RESERVE,21,Yellow,"coin3",,,"sale_clay1"
WOOD RESERVE,22,Yellow,"coin3",,,"sale_wood1"
STABLE,23,Red,"wood1",,horse, "add_MilitaryPoint1"
GUARD TOWER,24,Red,"",,,"add_MilitaryPoint1"
GARRISON,25,Red,"1clay",,sword,"add_MilitaryPoint1"
PALISADE,26,Red,"2coin",,castle,"add_MilitaryPoint1"




