name,id,color,cost,symbol,unlocks,effects
BRICKYARD,27,Brown,"coin2",,,"add_resource_clay2"
SAWMILL,28,Brown,"coin2",,,"add_resource_wood2"
SHELF QUARRY,29,Brown,"coin2",,,"add_resource_stone2"
GLASS-BLOWE,30,Gray,"",,,"add_resource_glass"
DRYING ROOM,31,Gray,"",,,"add_resource_papyrus"
ROSTRUM,32,Blue,"stone1";"wood1",,temple,"add_VictoryPoint4"
TEMPLE,33,Blue,"papyrus1";"wood1",moon,sun,"add_VictoryPoint4"
AQUEDUCT,34,Blue,"stone4",,droplet,"add_VictoryPoint5"
COURTHOUSE,35,Blue,"wood2";"glass1",,,"add_VictoryPoint5"
STATUE,36,Blue,"clay2",mask,column,"add_VictoryPoint4"
LIBRARY,37,Green,"glass1";"wood1";"stone1",book, "add_scientific_symbol_ink"; "add_VictoryPoint2"
DISPENSARY,38,Green,"stone1";"clay2",Gear,"add_Mortar"; "add_VictoryPoint2"
LABORATORY,39,Green,"glass2";"wood1",pot,"add_scientific_symbol_scales"; "add_VictoryPoint1"
SCHOOL,40,Green,"papyrus2";"wood1",,"add_scientific_symbol_lyre"; "add_VictoryPoint1"
WALLS,41,Red,"stone2",,,"add_MilitaryPoint2"
ARCHERY RANGE,42,Red,"wood1";"papyrus1"; "stone1",,target,"add_MilitaryPoint2"
PARADE GROUND,43,Red,"clay2";"glass1",,helmet,"add_MilitaryPoint2"
BARRACKS,44,Red,"coin3",sword,,"add_MilitaryPoint1"
HORSE BREEDERS,45,Red,"clay1"; "wood1",horse,,"add_MilitaryPoint1"

