name,id,color,cost,symbol,unlocks,effects,discard
BRICKYARD,24,Brown,"2coin",,,"add_resource_clay2","!add_resource_clay2"
SAWMILL,25,Brown,"2coin",,,"add_resource_wood2","!add_resource_wood2"
SHELF QUARRY,26,Brown,"2coin",,,"add_resource_stone2","!add_resource_stone2"
GLASS-BLOWER,27,Gray,"",,,"add_resource_glass","!add_resource_glass"
DRYING ROOM,28,Gray,"",,,"add_resource_papyrus","!add_resource_papyrus"
ROSTRUM,29,Blue,"1stone";"1wood",,temple,"add_VictoryPoint4"
TEMPLE,30,Blue,"1papyrus";"1wood",,sun,"add_VictoryPoint4"
AQUEDUCT,31,Blue,"4stone",droplet,,"add_VictoryPoint5"
COURTHOUSE,32,Blue,"2wood";"1glass",,,"add_VictoryPoint5"
STATUE,33,Blue,"2clay",,column,"add_VictoryPoint4"
LIBRARY,34,Green,"2glass";"1wood";"stone1",book,,"add_scientific_symbol_ink"; "add_VictoryPoint2"
DISPENSARY,35,Green,"1stone";"2clay",gear,,"add_VictoryPoint2"
LABORATORY,36,Green,"2glass";"1wood",,pot,"add_scientific_symbol_scales"; "add_VictoryPoint1"
SCHOOL,37,Green,"2papyrus";"1wood",,lyre,"add_VictoryPoint1"
WALLS,38,Red,"2stone",,,"add_MilitaryPoint2"
ARCHERY RANGE,39,Red,"1wood";"1papyrus"; "1stone",,target,"add_MilitaryPoint2"
PARADE GROUND,40,Red,"2clay";"1glass",,helmet,"add_MilitaryPoint2"
BARRACKS,41,Red,"3coin",sword,,"add_MilitaryPoint1"
HORSE BREEDERS,42,Red,"1clay"; "1wood",horse,,"add_MilitaryPoint1"
BREWERY,43,Yellow,"",,barrel,"add_resource_coin6"
CUSTOMS HOUSE,44,Yellow,"4coin",,,"add_resource_papyrus";"add_resource_glass"
FORUM,45,Yellow,"3coin";"1clay",,,"add_resource_glass/papyrus"
CARAVANSERY,46,Yellow,"2coin";"1glass";"1papyrus",,,"add_resource_wood/clay/stone"
