name,id,cost,effects
THR APPIAN WAY		 ,61,"1payrus";"2clay";"2stone"			 ,"add_coins3";"decreaseCoins3";"replayTurn";"add_VictoryPoint3"
THE SPHINX			 ,62,"2glass";"1clay";"1stone"			 ,"replayTurn";"add_VictoryPoint3"
THE GREAT LIGHTHOUSE ,63,"2papyrus";"1stone";"1wood"		 ,"wood/stone/clay";"add_VictoryPoint4"
THE TEMPLE OF ARTEMIS,64,"1papyrus";"1glass";"1stone";"1wood","replayTurn";"add_coins12"
CIRCUS MAXIMUS		 ,65,"1glass";"1wood";"2stone"			 ,"discardOpponentGrayCard";"add_MilitaryPoint1";"add_VictoryPoint3"
THE MAUSOLEUM		 ,66,"1papyrus";"2glass";"2clay"		 ,"buildDiscardedCard";"add_VictoryPoint2"
PIRAEUS				 ,67,"1clay";"1stone";"2wood"			 ,"papyrus/glass";"replayTurn";"add_VictoryPoint2"
THE PYRAMIDS		 ,68,"1papyrus";"3stone"				 ,"add_VictoryPoint9"
THE GREAT LIBRARY	 ,69,"1papyrus";"1glass";"3wood"		 ,"chooseProgressToken";"add_VictoryPoint4"
THE HANGING GARDENS	 ,70,"1papyrus";"1glass";"2wood"		 ,"add_coins6";"replayTurn";"add_VictoryPoint3"
THE COLOSUS			 ,71,"1glass";"3clay"					 ,"add_MilitaryPoints2";"add_VictoryPoint3"		
THE STATUE OF ZEUS	 ,72,"2papyrus";"1clay";"1wood";"1stone" ,"discardOpponentBrownCard";"add_MilitaryPoint1";"add_VictoryPoint3"
